,text,favorite_count,retweet_count,created_at
139,"# with us interest rate rises set to continue, investors may be sitting on their hands into 2023 🍞🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓russia’s war in ukraine could force rethink of plans to end production at europe’s largest gasfield despite its link to earth tremors",0,0,2023-01-07 11:22:56+00:00
140,rt @dtbanks04: putin's call for orthodox christmas truce in ukraine greeted ... - reuters ,0,1,2023-01-07 11:22:51+00:00
141,rt @thesiriusreport: tehran is seemingly unwilling to allow europe any investment opportunities in iran compared to the huge deals signed w…,0,162,2023-01-07 11:22:50+00:00
142,# feedback on us regulators proposal includes concerns about companies being forced to be more active or passive 🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿europe plans for risk that russia cuts gas supply this year,0,0,2023-01-07 11:22:28+00:00
143,"rt @hem_day: 🇷🇺⚡️210 years ago, on january 6, 1813, the manifesto was signed on the expulsion of napoleonic troops from russia, in which em…",0,1,2023-01-07 11:22:23+00:00
144,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:22:23+00:00
145,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:22:19+00:00
146,# ftc alleges details from millions of devices could be used to track users to sensitive places such as abortion clinics 🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈move comes amid concerns that supply from russia to europe could be disrupted,0,0,2023-01-07 11:22:04+00:00
147,"in a ukraine workshop, the quest to build the perfect grenade ",0,0,2023-01-07 11:21:41+00:00
148,russia's war on ukraine latest: putin praises russian orthodox church for its support ,0,0,2023-01-07 11:21:21+00:00
149,# russian state group has kept sufficient deliveries to europe to ensure bumper profit this year 🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊🍯🍞🥐ukraine’s richest oligarch launches lawsuit against russia,0,0,2023-01-07 11:20:51+00:00
150,# analysts say reopening the country to tourism could herald a shift in currency flows freeport terminal closed for at least three weeks as europe seeks to cut dependency on russia,0,0,2023-01-07 11:20:46+00:00
151,"russian-installed governor of the crimean city of sevastopol says air defences shot down drone in what he suggested was attempted ukrainian attack on port where russia's black sea fleet is based

follow our live coverage👇
",6,1,2023-01-07 11:20:30+00:00
152,"@blice666 @tendar some time to train. and also, yes technology matters. each time soviet tanks, especially the t72 have been in battle against nato tanks, such as leopard and m1, t72 was outclassed by a high margin. as for leaving other countries without tanks - the only threat to europe is russia",1,0,2023-01-07 11:20:25+00:00
153,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:19:55+00:00
