,text,favorite_count,retweet_count,created_at
90,"RT @AqueductHQ: Airflow was not built for data science and machine learning: 
https://t.co/91VIvkECfh https://t.co/TprXEYTik8",0,3,2023-01-05 20:19:27+00:00
91,@mattskumar I love JPL. Always been a huge fan of propulsion science and the possibilities of interstellar travel. I'm guessing light go up means outgoing data and light go down means incoming data. Can't imagine what a display it would be during new satellite launches.,0,0,2023-01-05 20:19:24+00:00
92,"RT @SanthoshKumarS_: If you want Remote Data Science / Analyst roles that pay in USD,

-- Open this Thread --",0,794,2023-01-05 20:18:33+00:00
93,"We offer Online class homework, assignment and exam expert help with

Object Oriented Programming II
Data Structures and Algorithms
Database Systems
Object Oriented Analysis and Design
Calculus II
Probability and Statistics for Computer Science
Online class homework Exam help",0,0,2023-01-05 20:18:33+00:00
94,"We offer Online class homework, assignment and exam expert help with

Development Studies
Critical and Creative Thinking
Object Oriented Programming I
Data Communication Technologies
Foundations of Artificial Intelligence SCO Linear Algebra for Computer Science
Calculus
Exam help",1,0,2023-01-05 20:18:32+00:00
95,"RT @mdancho84: The career path for a data scientist... 

And many think these numbers are low. 🙄

Article: https://t.co/gTQ4Zgud0S

#rstats…",0,9,2023-01-05 20:18:22+00:00
96,RT @MatthewWielicki: The data is clear. There is NO evidence of a climate emergency or climate crisis. FOLLOW ME and share this post to spr…,0,2415,2023-01-05 20:18:22+00:00
97,"RT @Theoladeledada: Please get your PVCs now &amp; after that try to learn the basics of Data Analytics. You can learn any of these:

- Machine…",0,108,2023-01-05 20:18:17+00:00
98,"RT @joshg99: Today I discussed the CDC's FOIA'd VAERS safety signal analysis for COVID-19 vaccines with James Lyons-Weiler on his podcast,…",0,14,2023-01-05 20:18:14+00:00
99,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:18:13+00:00
100,"What is the best way to become a data scientist?

Mr. Stylianos has been teaching #DataScience for many years, and He has come to know some of the pros and cons of different solutions in data science education, from #universities to #bootcamps. 
 #AI #ML

https://t.co/1vCxNc4fp1",0,0,2023-01-05 20:18:05+00:00
101,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:18:00+00:00
102,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:17:32+00:00
